part_rank,last seen position,churned_trial_users,churned_paid_users,active_paid_users
8,Unsupervised Learning::Feature Transformation::48,4,4,18
8,Unsupervised Learning::Outro::49,1,,4
8,Unsupervised Learning::Feature Transformation::49,4,4,18
8,Unsupervised Learning::Outro::50,1,,4
8,Unsupervised Learning::Project Details::50,16,16,70
8,Unsupervised Learning::Project Details::51,16,16,70
9,Unsupervised Learning::Introduction to Unsupervised Learning::48,9,5,5
9,Unsupervised Learning::Clustering::49,9,3,6
9,Unsupervised Learning::More Clustering::50,6,7,34
9,GitHub Profile Review::GitHub Profile Review::51,17,4,11
9,Unsupervised Learning::Clustering Mini-Project::51,3,3,10
9,GitHub Profile Review::GitHub Profile Review::52,17,4,11
9,Unsupervised Learning::Feature Scaling::52,3,2,7
9,Unsupervised Learning::Feature Selection::53,6,3,18
9,Unsupervised Learning::PCA::54,2,4,13
9,Unsupervised Learning::PCA Mini-Project::55,3,2,8
9,Unsupervised Learning::Feature Transformation::56,4,4,18
9,Unsupervised Learning::Outro::57,1,,4
9,Unsupervised Learning::Project Details::58,16,16,70
10,Reinforcement Learning::Introduction to Reinforcement Learning::52,9,1,9
10,Reinforcement Learning::Markov Decision Processes::53,30,19,45
10,Reinforcement Learning::Introduction to Reinforcement Learning::53,9,1,9
10,Reinforcement Learning::Reinforcement Learning::54,14,14,42
10,Reinforcement Learning::Markov Decision Processes::54,30,19,45
10,Reinforcement Learning::Game Theory::55,14,10,29
10,Reinforcement Learning::Reinforcement Learning::55,14,14,42
10,Reinforcement Learning::Project Details::56,41,36,128
10,Reinforcement Learning::Game Theory::56,14,10,29
10,Reinforcement Learning::Project Details::57,41,36,128
10,GitHub Profile Review::GitHub Profile Review::59,17,4,11
11,LinkedIn Profile Review::LinkedIn Profile Review::57,16,3,19
11,LinkedIn Profile Review::LinkedIn Profile Review::58,16,3,19
11,Reinforcement Learning::Introduction to Reinforcement Learning::60,9,1,9
11,Reinforcement Learning::Markov Decision Processes::61,30,19,45
11,Reinforcement Learning::Reinforcement Learning::62,14,14,42
11,Reinforcement Learning::Game Theory::63,14,10,29
11,Reinforcement Learning::Project Details::64,41,36,128
12,Machine Learning Specializations::Introduction to Specializations::58,6,4,31
12,Deep Learning::Deep Learning::59,1,,
12,Machine Learning Specializations::Introduction to Specializations::59,6,4,31
12,Deep Learning::Software and Tools::60,1,,3
12,Deep Learning::From Machine Learning to Deep Learning::61,6,,5
12,Deep Learning::Assignment: notMNIST::62,,1,
12,Deep Learning::Deep Neural Networks::63,,,2
12,Deep Learning::Convolutional Neural Networks::64,1,,
12,Deep Learning::Deep Models for Text and Sequences::65,,,2
12,LinkedIn Profile Review::LinkedIn Profile Review::65,16,3,19
12,Deep Learning::Project Details::66,3,,1
13,Capstone Proposal::Project Details::59,3,3,90
13,Capstone Proposal::Project Details::60,3,3,90
13,Deep Learning::Deep Learning::66,1,,
13,Machine Learning Specializations::Introduction to Specializations::67,6,4,31
13,Deep Learning::Software and Tools::67,1,,3
13,Deep Learning::From Machine Learning to Deep Learning::68,6,,5
13,Deep Learning::Assignment: notMNIST::69,,1,
13,Deep Learning::Deep Neural Networks::70,,,2
13,Deep Learning::Convolutional Neural Networks::71,1,,
13,Deep Learning::Deep Models for Text and Sequences::72,,,2
13,Deep Learning::Project Details::73,3,,1
14,Capstone Project::Project Details::60,30,44,185
14,Capstone Project::Project Details::61,30,44,185
14,Capstone Proposal::Project Details::68,3,3,90
14,Machine Learning Specializations::Introduction to Specializations::74,6,4,31
15,Udacity Professional Profile Review::Udacity Professional Profile Review::61,2,1,10
15,Udacity Professional Profile Review::Udacity Professional Profile Review::62,2,1,10
15,Capstone Project::Project Details::69,30,44,185
15,Capstone Proposal::Project Details::75,3,3,90
16,Technical Interview Practice::Introduction and Efficiency::62,11,2,8
16,Technical Interview Practice::List-Based Collections::63,3,1,7
16,Technical Interview Practice::Introduction and Efficiency::63,11,2,8
16,Technical Interview Practice::Searching and Sorting::64,7,1,7
16,Technical Interview Practice::List-Based Collections::64,3,1,7
16,Technical Interview Practice::Searching and Sorting::65,7,1,7
16,Technical Interview Practice::Maps and Hashing::65,,1,1
16,Technical Interview Practice::Trees::66,2,2,5
16,Technical Interview Practice::Maps and Hashing::66,,1,1
16,Technical Interview Practice::Trees::67,2,2,5
16,Technical Interview Practice::Graphs::67,1,,4
16,Technical Interview Practice::Case Studies in Algorithms::68,1,1,1
16,Technical Interview Practice::Graphs::68,1,,4
16,Technical Interview Practice::Case Studies in Algorithms::69,1,1,1
16,Technical Interview Practice::Technical Interviewing Techniques::69,3,1,
16,Udacity Professional Profile Review::Udacity Professional Profile Review::70,2,1,10
16,Technical Interview Practice::Technical Interviewing Techniques::70,3,1,
16,Technical Interview Practice::Project Prep::70,7,5,12
16,Technical Interview Practice::Project Prep::71,7,5,12
16,Capstone Project::Project Details::76,30,44,185
17,ML Interview Practice::Getting an Interview::71,8,,6
17,Technical Interview Practice::Introduction and Efficiency::71,11,2,8
17,ML Interview Practice::Getting an Interview::72,8,,6
17,Technical Interview Practice::List-Based Collections::72,3,1,7
17,ML Interview Practice::What to Expect at an Interview::72,1,1,2
17,ML Interview Practice::Practice Behavioral Questions::73,,,4
17,ML Interview Practice::What to Expect at an Interview::73,1,1,2
17,Technical Interview Practice::Searching and Sorting::73,7,1,7
17,ML Interview Practice::Practice Behavioral Questions::74,,,4
17,Technical Interview Practice::Maps and Hashing::74,,1,1
17,ML Interview Practice::ML Mock Interview::74,4,6,8
17,Technical Interview Practice::Trees::75,2,2,5
17,ML Interview Practice::ML Mock Interview::75,4,6,8
17,ML Interview Practice::Interview Fails::75,1,,1
17,ML Interview Practice::After the Interview::76,,2,
17,ML Interview Practice::Interview Fails::76,1,,1
17,Technical Interview Practice::Graphs::76,1,,4
17,Udacity Professional Profile Review::Udacity Professional Profile Review::77,2,1,10
17,ML Interview Practice::After the Interview::77,,2,
17,Technical Interview Practice::Case Studies in Algorithms::77,1,1,1
